Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,social_support,cpi_score
Bahrain,2017,77.032,16.0,9.4,44980.0,0.88,0.79,0.92,0.84,0.86,0.85,6.199,1.362,0.0,0.871,0.536,0.255,0.11,0.0,Asia,1.368,36
Bahrain,2016,76.899,16.0,9.4,41860.0,0.88,0.79,0.91,0.84,0.86,0.85,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,1.73797,Asia,0.0,43
Bahrain,2015,76.762,14.8,9.3,42760.0,0.87,0.75,0.92,0.83,0.84,0.83,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217,1.656149387,Asia,0.0,51
Azerbaijan,2018,72.86,12.4,10.48,15240.14,0.81,0.7,0.76,0.75,0.76,0.75,5.201,1.024,0.0,0.603,0.43,0.031,0.176,0.0,Asia,1.161,25
Azerbaijan,2017,72.693,12.7,10.7,13510.0,0.81,0.72,0.74,0.75,0.76,0.76,5.208,1.043,0.0,0.769,0.351,0.035,0.182,0.0,Asia,1.147,31
Azerbaijan,2016,72.493,12.7,10.7,14920.0,0.81,0.72,0.76,0.75,0.76,0.76,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2.00073,Asia,0.0,30
Azerbaijan,2015,72.266,12.7,10.7,15020.0,0.8,0.72,0.76,0.75,0.76,0.76,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,1.762481689,Asia,0.0,29
Austria,2018,81.43,16.29,12.56,46230.57,0.95,0.89,0.93,0.91,0.92,0.91,7.139,1.341,0.0,0.891,0.617,0.242,0.224,0.0,Europe,1.504,76
Austria,2017,81.34,16.1,12.1,54150.0,0.94,0.87,0.95,0.91,0.92,0.91,7.246,1.376,0.0,1.016,0.532,0.244,0.226,0.0,Europe,1.475,75
Austria,2016,81.258,16.1,12.1,52630.0,0.94,0.87,0.95,0.91,0.92,0.91,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2.5332,Europe,0.0,75
Austria,2015,81.182,15.9,12.1,49390.0,0.94,0.87,0.94,0.91,0.91,0.9,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413,Europe,0.0,76
Australia,2018,83.28,22.1,12.68,44097.02,0.97,1.09,0.92,0.94,0.99,0.94,7.272,1.34,0.0,0.91,0.647,0.361,0.302,0.0,Australia,1.573,77
Australia,2017,83.122,22.9,12.9,47580.0,0.97,1.0,0.93,0.94,0.97,0.94,7.228,1.372,0.0,1.036,0.557,0.332,0.29,0.0,Australia,1.548,77
Australia,2016,82.959,22.9,12.9,46230.0,0.97,1.0,0.93,0.94,0.96,0.94,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2.26646,Australia,0.0,79
Australia,2015,82.794,23.3,12.8,45330.0,0.97,1.0,0.92,0.93,0.96,0.94,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819,Australia,0.0,79
Armenia,2018,74.95,13.17,11.79,9277.23,0.85,0.77,0.68,0.76,0.76,0.76,4.321,0.816,0.0,0.666,0.26,0.077,0.028,0.0,Asia,0.99,35
Armenia,2017,74.797,13.0,11.7,12540.0,0.84,0.76,0.73,0.76,0.78,0.76,4.559,0.85,0.0,0.815,0.283,0.095,0.064,0.0,Asia,1.055,35
Armenia,2016,74.64,13.0,11.7,13160.0,0.84,0.76,0.74,0.75,0.78,0.75,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,1.75873,Asia,0.0,33
Armenia,2015,74.467,13.0,11.6,12490.0,0.84,0.76,0.73,0.75,0.77,0.75,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,1.521499157,Asia,0.0,35
Argentina,2018,76.52,17.64,10.56,17611.22,0.87,0.88,0.78,0.83,0.84,0.83,6.388,1.073,0.0,0.744,0.57,0.062,0.054,0.0,South America,1.468,40
Argentina,2017,76.372,17.4,9.9,22960.0,0.87,0.86,0.82,0.83,0.85,0.83,6.086,1.092,0.0,0.881,0.471,0.066,0.05,0.0,South America,1.432,39
Argentina,2016,76.221,17.4,9.9,19710.0,0.86,0.86,0.8,0.83,0.84,0.82,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2.836,South America,0.0,36
Argentina,2015,76.068,17.4,9.8,19650.0,0.86,0.85,0.8,0.83,0.84,0.82,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,2.614005327,South America,0.0,32
Algeria,2018,76.69,14.72,7.99,13639.43,0.87,0.71,0.74,0.76,0.77,0.76,5.295,0.979,0.0,0.687,0.077,0.055,0.135,0.0,Africa,1.154,35
Algeria,2017,76.499,14.4,8.0,11370.0,0.87,0.7,0.72,0.76,0.76,0.75,5.211,1.002,0.0,0.785,0.086,0.073,0.114,0.0,Africa,1.16,33
Algeria,2016,76.298,14.3,8.0,11520.0,0.87,0.7,0.72,0.76,0.76,0.75,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2.43209,Africa,0.0,34
Algeria,2015,76.09,14.3,7.9,11700.0,0.86,0.7,0.72,0.75,0.76,0.75,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,2.567603827,Africa,0.0,36
Albania,2018,78.46,15.23,10.05,12299.8,0.9,0.79,0.73,0.79,0.8,0.79,4.586,0.916,0.0,0.79,0.419,0.149,0.032,0.0,Europe,0.817,36
Albania,2017,78.333,14.8,10.0,13130.0,0.9,0.77,0.74,0.79,0.8,0.79,4.719,0.947,0.0,0.874,0.383,0.178,0.027,0.0,Europe,0.848,38
Albania,2016,78.194,14.8,10.0,12270.0,0.9,0.77,0.73,0.79,0.79,0.78,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,1.89894,Europe,0.0,39
Albania,2015,78.025,14.8,9.7,11800.0,0.89,0.76,0.72,0.79,0.79,0.78,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,1.490441561,Europe,0.0,36
Afghanistan,2018,64.49,10.14,3.93,1745.67,0.68,0.45,0.43,0.5,0.51,0.5,3.632,0.332,0.0,0.255,0.085,0.191,0.036,0.0,Asia,0.537,16
Afghanistan,2017,64.13,10.4,3.8,2210.0,0.68,0.45,0.47,0.49,0.52,0.5,3.203,0.35,0.0,0.361,0.0,0.158,0.025,0.0,Asia,0.517,15
Afghanistan,2016,63.763,10.4,3.6,2140.0,0.67,0.45,0.46,0.49,0.52,0.49,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,1.9521,Asia,0.0,15
Afghanistan,2015,63.377,10.4,3.6,2110.0,0.67,0.45,0.46,0.49,0.52,0.49,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,Asia,0.0,11
